Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_000002035.6	Primary Assembly	Un			KN149698.1	Chromosome		NW_008805347.1	unplaced-scaffold	108577	chrUn_KN149698v1		NA1037
GCF_000002035.6	Primary Assembly	Un			KN149700.1	Chromosome		NW_003337144.1	unplaced-scaffold	40050	chrUn_KN149700v1		NA1038
GCF_000002035.6	Primary Assembly	Un			KN149701.1	Chromosome		NW_008805348.1	unplaced-scaffold	3760	chrUn_KN149701v1		NA1039
GCF_000002035.6	Primary Assembly	Un			KN149702.1	Chromosome		NW_008805349.1	unplaced-scaffold	100325	chrUn_KN149702v1		NA1040
GCF_000002035.6	Primary Assembly	Un			KN149703.1	Chromosome		NW_003336866.1	unplaced-scaffold	13902	chrUn_KN149703v1		NA1041
GCF_000002035.6	Primary Assembly	Un			KN149705.1	Chromosome		NW_003336598.1	unplaced-scaffold	27926	chrUn_KN149705v1		NA1044
GCF_000002035.6	Primary Assembly	Un			KN149706.1	Chromosome		NW_003336851.1	unplaced-scaffold	33279	chrUn_KN149706v1		NA1045
GCF_000002035.6	Primary Assembly	Un			KN149707.2	Chromosome		NW_008805351.2	unplaced-scaffold	7455	chrUn_KN149707v2		NA103
GCF_000002035.6	Primary Assembly	Un			KN149708.1	Chromosome		NW_003337018.1	unplaced-scaffold	20567	chrUn_KN149708v1		NA1046
GCF_000002035.6	Primary Assembly	Un			KN149709.1	Chromosome		NW_003336433.1	unplaced-scaffold	27814	chrUn_KN149709v1		NA1047
GCF_000002035.6	Primary Assembly	Un			KN149710.1	Chromosome		NW_003335779.1	unplaced-scaffold	50974	chrUn_KN149710v1		NA1048
GCF_000002035.6	Primary Assembly	Un			KN149711.1	Chromosome		NW_003336950.1	unplaced-scaffold	11473	chrUn_KN149711v1		NA1049
GCF_000002035.6	Primary Assembly	Un			KN149713.1	Chromosome		NW_008805353.1	unplaced-scaffold	10094	chrUn_KN149713v1		NA1050
GCF_000002035.6	Primary Assembly	Un			KN149714.1	Chromosome		NW_003337205.1	unplaced-scaffold	74622	chrUn_KN149714v1		NA1051
GCF_000002035.6	Primary Assembly	Un			KN149715.1	Chromosome		NW_003336714.2	unplaced-scaffold	19020	chrUn_KN149715v1		NA1052
GCF_000002035.6	Primary Assembly	Un			KN149716.1	Chromosome		NW_003334619.1	unplaced-scaffold	42229	chrUn_KN149716v1		NA104
GCF_000002035.6	Primary Assembly	Un			KN149717.1	Chromosome		NW_003337229.1	unplaced-scaffold	47589	chrUn_KN149717v1		NA105
GCF_000002035.6	Primary Assembly	Un			KN149718.1	Chromosome		NW_003336716.1	unplaced-scaffold	65247	chrUn_KN149718v1		NA106
GCF_000002035.6	Primary Assembly	Un			KN149719.1	Chromosome		NW_003337263.1	unplaced-scaffold	47531	chrUn_KN149719v1		NA107
GCF_000002035.6	Primary Assembly	Un			KN149720.1	Chromosome		NW_008805354.1	unplaced-scaffold	10211	chrUn_KN149720v1		NA108
GCF_000002035.6	Primary Assembly	Un			KN149721.1	Chromosome		NW_003336827.1	unplaced-scaffold	25462	chrUn_KN149721v1		NA109
GCF_000002035.6	Primary Assembly	Un			KN149722.1	Chromosome		NW_003336457.1	unplaced-scaffold	13397	chrUn_KN149722v1		NA110
GCF_000002035.6	Primary Assembly	Un			KN149723.1	Chromosome		NW_003337194.1	unplaced-scaffold	55784	chrUn_KN149723v1		NA111
GCF_000002035.6	Primary Assembly	Un			KN149724.1	Chromosome		NW_003336519.1	unplaced-scaffold	11849	chrUn_KN149724v1		NA113
GCF_000002035.6	Primary Assembly	Un			KN149725.1	Chromosome		NW_003336869.1	unplaced-scaffold	69829	chrUn_KN149725v1		NA10
GCF_000002035.6	Primary Assembly	Un			KN149727.1	Chromosome		NW_003336152.2	unplaced-scaffold	24871	chrUn_KN149727v1		NA115
GCF_000002035.6	Primary Assembly	Un			KN149728.1	Chromosome		NW_003336547.1	unplaced-scaffold	9442	chrUn_KN149728v1		NA117
GCF_000002035.6	Primary Assembly	Un			KN149729.1	Chromosome		NW_008805356.1	unplaced-scaffold	5608	chrUn_KN149729v1		NA118
GCF_000002035.6	Primary Assembly	Un			KN149730.1	Chromosome		NW_003336623.1	unplaced-scaffold	14804	chrUn_KN149730v1		NA119
GCF_000002035.6	Primary Assembly	Un			KN149732.1	Chromosome		NW_003336490.1	unplaced-scaffold	16041	chrUn_KN149732v1		NA121
GCF_000002035.6	Primary Assembly	Un			KN149733.1	Chromosome		NW_003336868.1	unplaced-scaffold	21637	chrUn_KN149733v1		NA123
GCF_000002035.6	Primary Assembly	Un			KN149735.1	Chromosome		NW_008805358.1	unplaced-scaffold	5747	chrUn_KN149735v1		NA124
GCF_000002035.6	Primary Assembly	Un			KN149737.1	Chromosome		NW_003336345.1	unplaced-scaffold	27700	chrUn_KN149737v1		NA125
GCF_000002035.6	Primary Assembly	Un			KN149738.1	Chromosome		NW_003337254.2	unplaced-scaffold	10603	chrUn_KN149738v1		NA126
GCF_000002035.6	Primary Assembly	Un			KN149739.1	Chromosome		NW_003336823.1	unplaced-scaffold	51610	chrUn_KN149739v1		NA127
GCF_000002035.6	Primary Assembly	Un			KN149740.1	Chromosome		NW_003334432.1	unplaced-scaffold	1265	chrUn_KN149740v1		NA128
GCF_000002035.6	Primary Assembly	Un			KN149741.1	Chromosome		NW_003337078.1	unplaced-scaffold	21941	chrUn_KN149741v1		NA129
GCF_000002035.6	Primary Assembly	Un			KN149742.1	Chromosome		NW_003336474.1	unplaced-scaffold	2671	chrUn_KN149742v1		NA131
GCF_000002035.6	Primary Assembly	Un			KN149743.1	Chromosome		NW_003336724.1	unplaced-scaffold	21023	chrUn_KN149743v1		NA132
GCF_000002035.6	Primary Assembly	Un			KN149745.1	Chromosome		NW_003337249.1	unplaced-scaffold	8150	chrUn_KN149745v1		NA133
GCF_000002035.6	Primary Assembly	Un			KN149746.1	Chromosome		NW_008805361.1	unplaced-scaffold	10900	chrUn_KN149746v1		NA134
GCF_000002035.6	Primary Assembly	Un			KN149747.1	Chromosome		NW_003336980.1	unplaced-scaffold	16275	chrUn_KN149747v1		NA14
GCF_000002035.6	Primary Assembly	Un			KN149748.1	Chromosome		NW_003336540.1	unplaced-scaffold	96570	chrUn_KN149748v1		NA135
GCF_000002035.6	Primary Assembly	Un			KN149749.1	Chromosome		NW_003336941.1	unplaced-scaffold	40089	chrUn_KN149749v1		NA136
GCF_000002035.6	Primary Assembly	Un			KN149750.1	Chromosome		NW_003336571.1	unplaced-scaffold	13928	chrUn_KN149750v1		NA137
GCF_000002035.6	Primary Assembly	Un			KN149751.1	Chromosome		NW_003336649.1	unplaced-scaffold	15848	chrUn_KN149751v1		NA138
GCF_000002035.6	Primary Assembly	Un			KN149753.1	Chromosome		NW_003336977.1	unplaced-scaffold	30249	chrUn_KN149753v1		NA140
GCF_000002035.6	Primary Assembly	Un			KN149754.1	Chromosome		NW_003336969.1	unplaced-scaffold	40214	chrUn_KN149754v1		NA141
GCF_000002035.6	Primary Assembly	Un			KN149755.1	Chromosome		NW_003337240.1	unplaced-scaffold	11941	chrUn_KN149755v1		NA142
GCF_000002035.6	Primary Assembly	Un			KN149756.1	Chromosome		NW_003337114.1	unplaced-scaffold	11785	chrUn_KN149756v1		NA144
GCF_000002035.6	Primary Assembly	Un			KN149757.1	Chromosome		NW_003334832.2	unplaced-scaffold	16145	chrUn_KN149757v1		NA145
GCF_000002035.6	Primary Assembly	Un			KN149758.1	Chromosome		NW_003336859.1	unplaced-scaffold	9515	chrUn_KN149758v1		NA16
GCF_000002035.6	Primary Assembly	Un			KN149760.1	Chromosome		NW_003336744.1	unplaced-scaffold	46605	chrUn_KN149760v1		NA147
GCF_000002035.6	Primary Assembly	Un			KN149761.1	Chromosome		NW_003336095.2	unplaced-scaffold	14795	chrUn_KN149761v1		NA148
GCF_000002035.6	Primary Assembly	Un			KN149762.1	Chromosome		NW_008805363.1	unplaced-scaffold	17936	chrUn_KN149762v1		NA149
GCF_000002035.6	Primary Assembly	Un			KN149763.1	Chromosome		NW_003336711.1	unplaced-scaffold	19644	chrUn_KN149763v1		NA150
GCF_000002035.6	Primary Assembly	Un			KN149764.1	Chromosome		NW_003337091.2	unplaced-scaffold	19831	chrUn_KN149764v1		NA151
GCF_000002035.6	Primary Assembly	Un			KN149765.1	Chromosome		NW_003336801.1	unplaced-scaffold	29197	chrUn_KN149765v1		NA153
GCF_000002035.6	Primary Assembly	Un			KN149766.1	Chromosome		NW_003336970.1	unplaced-scaffold	14664	chrUn_KN149766v1		NA155
GCF_000002035.6	Primary Assembly	Un			KN149767.1	Chromosome		NW_003337044.1	unplaced-scaffold	30874	chrUn_KN149767v1		NA156
GCF_000002035.6	Primary Assembly	Un			KN149768.1	Chromosome		NW_003336765.1	unplaced-scaffold	17671	chrUn_KN149768v1		NA157
GCF_000002035.6	Primary Assembly	Un			KN149769.1	Chromosome		NW_003337010.1	unplaced-scaffold	53048	chrUn_KN149769v1		NA17
GCF_000002035.6	Primary Assembly	Un			KN149770.1	Chromosome		NW_003337047.1	unplaced-scaffold	12046	chrUn_KN149770v1		NA158
GCF_000002035.6	Primary Assembly	Un			KN149771.1	Chromosome		NW_003336986.1	unplaced-scaffold	14151	chrUn_KN149771v1		NA159
GCF_000002035.6	Primary Assembly	Un			KN149772.1	Chromosome		NW_003337052.1	unplaced-scaffold	13273	chrUn_KN149772v1		NA161
GCF_000002035.6	Primary Assembly	Un			KN149774.1	Chromosome		NW_003336170.1	unplaced-scaffold	12337	chrUn_KN149774v1		NA163
GCF_000002035.6	Primary Assembly	Un			KN149775.2	Chromosome		NW_003334589.2	unplaced-scaffold	26074	chrUn_KN149775v2		NA164
GCF_000002035.6	Primary Assembly	Un			KN149777.1	Chromosome		NW_008805364.1	unplaced-scaffold	1553	chrUn_KN149777v1		NA166
GCF_000002035.6	Primary Assembly	Un			KN149778.1	Chromosome		NW_003337175.1	unplaced-scaffold	111598	chrUn_KN149778v1		NA167
GCF_000002035.6	Primary Assembly	Un			KN149779.1	Chromosome		NW_003334443.1	unplaced-scaffold	21664	chrUn_KN149779v1		NA168
GCF_000002035.6	Primary Assembly	Un			KN149780.1	Chromosome		NW_003334404.1	unplaced-scaffold	19718	chrUn_KN149780v1		NA18
GCF_000002035.6	Primary Assembly	Un			KN149782.1	Chromosome		NW_003337232.1	unplaced-scaffold	36097	chrUn_KN149782v1		NA170
GCF_000002035.6	Primary Assembly	Un			KN149783.1	Chromosome		NW_003336802.1	unplaced-scaffold	11892	chrUn_KN149783v1		NA171
GCF_000002035.6	Primary Assembly	Un			KN149784.1	Chromosome		NW_003337109.1	unplaced-scaffold	73829	chrUn_KN149784v1		NA172
GCF_000002035.6	Primary Assembly	Un			KN149785.1	Chromosome		NW_003336582.1	unplaced-scaffold	1577	chrUn_KN149785v1		NA173
GCF_000002035.6	Primary Assembly	Un			KN149786.1	Chromosome		NW_008805365.1	unplaced-scaffold	1745	chrUn_KN149786v1		NA176
GCF_000002035.6	Primary Assembly	Un			KN149787.1	Chromosome		NW_003335933.1	unplaced-scaffold	39794	chrUn_KN149787v1		NA179
GCF_000002035.6	Primary Assembly	Un			KN149788.1	Chromosome		NW_008805366.1	unplaced-scaffold	8794	chrUn_KN149788v1		NA180
GCF_000002035.6	Primary Assembly	Un			KN149789.1	Chromosome		NW_003337184.1	unplaced-scaffold	12990	chrUn_KN149789v1		NA181
GCF_000002035.6	Primary Assembly	Un			KN149790.1	Chromosome		NW_003336877.1	unplaced-scaffold	115850	chrUn_KN149790v1		NA183
GCF_000002035.6	Primary Assembly	Un			KN149791.1	Chromosome		NW_003336635.1	unplaced-scaffold	17273	chrUn_KN149791v1		NA19
GCF_000002035.6	Primary Assembly	Un			KN149792.1	Chromosome		NW_003337069.1	unplaced-scaffold	11232	chrUn_KN149792v1		NA184
GCF_000002035.6	Primary Assembly	Un			KN149793.1	Chromosome		NW_008805367.1	unplaced-scaffold	13298	chrUn_KN149793v1		NA185
GCF_000002035.6	Primary Assembly	Un			KN149794.1	Chromosome		NW_008805368.1	unplaced-scaffold	25440	chrUn_KN149794v1		NA186
GCF_000002035.6	Primary Assembly	Un			KN149795.1	Chromosome		NW_003336860.1	unplaced-scaffold	34615	chrUn_KN149795v1		NA187
GCF_000002035.6	Primary Assembly	Un			KN149796.1	Chromosome		NW_003336550.1	unplaced-scaffold	25635	chrUn_KN149796v1		NA188
GCF_000002035.6	Primary Assembly	Un			KN149797.1	Chromosome		NW_003334026.1	unplaced-scaffold	102101	chrUn_KN149797v1		NA191
GCF_000002035.6	Primary Assembly	Un			KN149798.1	Chromosome		NW_003336837.1	unplaced-scaffold	1990	chrUn_KN149798v1		NA192
GCF_000002035.6	Primary Assembly	Un			KN149800.1	Chromosome		NW_008805369.1	unplaced-scaffold	42049	chrUn_KN149800v1		NA194
GCF_000002035.6	Primary Assembly	Un			KN149801.1	Chromosome		NW_003336889.1	unplaced-scaffold	4454	chrUn_KN149801v1		NA196
GCF_000002035.6	Primary Assembly	Un			KN149803.1	Chromosome		NW_003337090.1	unplaced-scaffold	16018	chrUn_KN149803v1		NA197
GCF_000002035.6	Primary Assembly	Un			KN149804.1	Chromosome		NW_003337095.1	unplaced-scaffold	10148	chrUn_KN149804v1		NA198
GCF_000002035.6	Primary Assembly	Un			KN149805.1	Chromosome		NW_003336290.1	unplaced-scaffold	12432	chrUn_KN149805v1		NA199
GCF_000002035.6	Primary Assembly	Un			KN149806.1	Chromosome		NW_008805370.1	unplaced-scaffold	15157	chrUn_KN149806v1		NA200
GCF_000002035.6	Primary Assembly	Un			KN149807.1	Chromosome		NW_003334875.1	unplaced-scaffold	12512	chrUn_KN149807v1		NA201
GCF_000002035.6	Primary Assembly	Un			KN149809.1	Chromosome		NW_003336915.1	unplaced-scaffold	2001	chrUn_KN149809v1		NA202
GCF_000002035.6	Primary Assembly	Un			KN149810.1	Chromosome		NW_003336919.1	unplaced-scaffold	15043	chrUn_KN149810v1		NA203
GCF_000002035.6	Primary Assembly	Un			KN149811.1	Chromosome		NW_003336886.1	unplaced-scaffold	8720	chrUn_KN149811v1		NA204
GCF_000002035.6	Primary Assembly	Un			KN149812.1	Chromosome		NW_003336288.1	unplaced-scaffold	51419	chrUn_KN149812v1		NA205
GCF_000002035.6	Primary Assembly	Un			KN149813.1	Chromosome		NW_003336509.1	unplaced-scaffold	59009	chrUn_KN149813v1		NA21
GCF_000002035.6	Primary Assembly	Un			KN149814.1	Chromosome		NW_003334686.1	unplaced-scaffold	25878	chrUn_KN149814v1		NA207
GCF_000002035.6	Primary Assembly	Un			KN149815.1	Chromosome		NW_003334684.1	unplaced-scaffold	33337	chrUn_KN149815v1		NA208
GCF_000002035.6	Primary Assembly	Un			KN149816.1	Chromosome		NW_003335521.2	unplaced-scaffold	10128	chrUn_KN149816v1		NA209
GCF_000002035.6	Primary Assembly	Un			KN149817.1	Chromosome		NW_003337049.1	unplaced-scaffold	11116	chrUn_KN149817v1		NA210
GCF_000002035.6	Primary Assembly	Un			KN149818.1	Chromosome		NW_003335384.1	unplaced-scaffold	25942	chrUn_KN149818v1		NA211
GCF_000002035.6	Primary Assembly	Un			KN149819.1	Chromosome		NW_008805371.1	unplaced-scaffold	10210	chrUn_KN149819v1		NA213
GCF_000002035.6	Primary Assembly	Un			KN149822.1	Chromosome		NW_003336643.1	unplaced-scaffold	2460	chrUn_KN149822v1		NA215
GCF_000002035.6	Primary Assembly	Un			KN149823.1	Chromosome		NW_003335161.1	unplaced-scaffold	14034	chrUn_KN149823v1		NA216
GCF_000002035.6	Primary Assembly	Un			KN149824.1	Chromosome		NW_003336698.1	unplaced-scaffold	2357	chrUn_KN149824v1		NA22
GCF_000002035.6	Primary Assembly	Un			KN149825.1	Chromosome		NW_003336761.1	unplaced-scaffold	22128	chrUn_KN149825v1		NA1
GCF_000002035.6	Primary Assembly	Un			KN149826.1	Chromosome		NW_003336654.1	unplaced-scaffold	90482	chrUn_KN149826v1		NA217
GCF_000002035.6	Primary Assembly	Un			KN149827.1	Chromosome		NW_008805373.1	unplaced-scaffold	13555	chrUn_KN149827v1		NA218
GCF_000002035.6	Primary Assembly	Un			KN149828.1	Chromosome		NW_003336660.1	unplaced-scaffold	11414	chrUn_KN149828v1		NA219
GCF_000002035.6	Primary Assembly	Un			KN149829.1	Chromosome		NW_003335757.1	unplaced-scaffold	27323	chrUn_KN149829v1		NA220
GCF_000002035.6	Primary Assembly	Un			KN149832.1	Chromosome		NW_003336959.1	unplaced-scaffold	12483	chrUn_KN149832v1		NA223
GCF_000002035.6	Primary Assembly	Un			KN149834.1	Chromosome		NW_003337098.1	unplaced-scaffold	17343	chrUn_KN149834v1		NA225
GCF_000002035.6	Primary Assembly	Un			KN149835.1	Chromosome		NW_003334814.2	unplaced-scaffold	25861	chrUn_KN149835v1		NA226
GCF_000002035.6	Primary Assembly	Un			KN149836.1	Chromosome		NW_003335691.1	unplaced-scaffold	34954	chrUn_KN149836v1		NA23
GCF_000002035.6	Primary Assembly	Un			KN149837.1	Chromosome		NW_003336667.1	unplaced-scaffold	8007	chrUn_KN149837v1		NA227
GCF_000002035.6	Primary Assembly	Un			KN149838.1	Chromosome		NW_003337138.1	unplaced-scaffold	29025	chrUn_KN149838v1		NA228
GCF_000002035.6	Primary Assembly	Un			KN149839.1	Chromosome		NW_003336838.1	unplaced-scaffold	12998	chrUn_KN149839v1		NA229
GCF_000002035.6	Primary Assembly	Un			KN149840.1	Chromosome		NW_003336831.1	unplaced-scaffold	46864	chrUn_KN149840v1		NA230
GCF_000002035.6	Primary Assembly	Un			KN149841.1	Chromosome		NW_003336073.1	unplaced-scaffold	10085	chrUn_KN149841v1		NA231
GCF_000002035.6	Primary Assembly	Un			KN149843.1	Chromosome		NW_003336867.1	unplaced-scaffold	33258	chrUn_KN149843v1		NA232
GCF_000002035.6	Primary Assembly	Un			KN149844.1	Chromosome		NW_003336430.1	unplaced-scaffold	10201	chrUn_KN149844v1		NA233
GCF_000002035.6	Primary Assembly	Un			KN149846.1	Chromosome		NW_003336483.1	unplaced-scaffold	28664	chrUn_KN149846v1		NA235
GCF_000002035.6	Primary Assembly	Un			KN149847.1	Chromosome		NW_003337258.1	unplaced-scaffold	130903	chrUn_KN149847v1		NA24
GCF_000002035.6	Primary Assembly	Un			KN149848.1	Chromosome		NW_003336432.1	unplaced-scaffold	10341	chrUn_KN149848v1		NA236
GCF_000002035.6	Primary Assembly	Un			KN149849.1	Chromosome		NW_008805378.1	unplaced-scaffold	20421	chrUn_KN149849v1		NA237
GCF_000002035.6	Primary Assembly	Un			KN149850.1	Chromosome		NW_003337014.1	unplaced-scaffold	33401	chrUn_KN149850v1		NA238
GCF_000002035.6	Primary Assembly	Un			KN149851.1	Chromosome		NW_003336419.1	unplaced-scaffold	12094	chrUn_KN149851v1		NA239
GCF_000002035.6	Primary Assembly	Un			KN149852.1	Chromosome		NW_008805379.1	unplaced-scaffold	30223	chrUn_KN149852v1		NA240
GCF_000002035.6	Primary Assembly	Un			KN149853.1	Chromosome		NW_003336917.1	unplaced-scaffold	12817	chrUn_KN149853v1		NA241
GCF_000002035.6	Primary Assembly	Un			KN149854.1	Chromosome		NW_008805380.1	unplaced-scaffold	6367	chrUn_KN149854v1		NA243
GCF_000002035.6	Primary Assembly	Un			KN149855.1	Chromosome		NW_003334236.1	unplaced-scaffold	23165	chrUn_KN149855v1		NA244
GCF_000002035.6	Primary Assembly	Un			KN149856.1	Chromosome		NW_003334447.1	unplaced-scaffold	35330	chrUn_KN149856v1		NA245
GCF_000002035.6	Primary Assembly	Un			KN149857.1	Chromosome		NW_008805381.1	unplaced-scaffold	10132	chrUn_KN149857v1		NA246
GCF_000002035.6	Primary Assembly	Un			KN149859.1	Chromosome		NW_003336720.1	unplaced-scaffold	53306	chrUn_KN149859v1		NA247
GCF_000002035.6	Primary Assembly	Un			KN149860.1	Chromosome		NW_003336315.1	unplaced-scaffold	17408	chrUn_KN149860v1		NA248
GCF_000002035.6	Primary Assembly	Un			KN149861.1	Chromosome		NW_003336809.1	unplaced-scaffold	14336	chrUn_KN149861v1		NA249
