piRNA_Name,Transposable_Element,Start_Position,Mapping_Quality,Match_Count,Insertion_Count,Deletion_Count,Alignment_Identity,Orientation
Drer_1747804,Zebrafish_EnSpm-N49_DR#DNA/CACTA,517,37,27,0,0,1.0,Forward
Drer_1747805,Zebrafish_EnSpm-N49_DR#DNA/CACTA,517,37,28,0,0,1.0,Forward
Drer_544346,Zebrafish_EnSpm-N49_DR#DNA/CACTA,518,37,32,0,0,1.0,Reverse
Drer_544345,Zebrafish_EnSpm-N49_DR#DNA/CACTA,519,37,31,0,0,1.0,Reverse
Drer_1631683,Zebrafish_EnSpm-N49_DR#DNA/CACTA,519,37,30,0,0,1.0,Reverse
Drer_544344,Zebrafish_EnSpm-N49_DR#DNA/CACTA,520,37,30,0,0,1.0,Reverse
Drer_1631682,Zebrafish_EnSpm-N49_DR#DNA/CACTA,520,37,29,0,0,1.0,Reverse
Drer_544343,Zebrafish_EnSpm-N49_DR#DNA/CACTA,521,37,29,0,0,1.0,Reverse
Drer_1631681,Zebrafish_EnSpm-N49_DR#DNA/CACTA,521,37,28,0,0,1.0,Reverse
Drer_181926,Zebrafish_EnSpm-N49_DR#DNA/CACTA,522,37,29,0,0,1.0,Reverse
Drer_544342,Zebrafish_EnSpm-N49_DR#DNA/CACTA,522,37,28,0,0,1.0,Reverse
Drer_1631680,Zebrafish_EnSpm-N49_DR#DNA/CACTA,522,37,27,0,0,1.0,Reverse
Drer_1737234,Zebrafish_EnSpm-N49_DR#DNA/CACTA,522,37,26,0,0,1.0,Reverse
Drer_544341,Zebrafish_EnSpm-N49_DR#DNA/CACTA,523,37,27,0,0,1.0,Reverse
Drer_1631679,Zebrafish_EnSpm-N49_DR#DNA/CACTA,523,37,26,0,0,1.0,Reverse
Drer_181925,Zebrafish_EnSpm-N49_DR#DNA/CACTA,524,37,27,0,0,1.0,Reverse
Drer_544340,Zebrafish_EnSpm-N49_DR#DNA/CACTA,524,37,26,0,0,1.0,Reverse
Drer_1631678,Zebrafish_EnSpm-N49_DR#DNA/CACTA,524,37,25,0,0,1.0,Reverse
Drer_1737233,Zebrafish_EnSpm-N49_DR#DNA/CACTA,524,37,24,0,0,1.0,Reverse
Drer_1827252,Zebrafish_EnSpm-N49_DR#DNA/CACTA,524,37,30,0,0,1.0,Reverse
Drer_181924,Zebrafish_EnSpm-N49_DR#DNA/CACTA,525,37,26,0,0,1.0,Reverse
Drer_544339,Zebrafish_EnSpm-N49_DR#DNA/CACTA,525,37,25,0,0,1.0,Reverse
Drer_1631677,Zebrafish_EnSpm-N49_DR#DNA/CACTA,525,37,24,0,0,1.0,Reverse
Drer_1648201,Zebrafish_EnSpm-N49_DR#DNA/CACTA,525,37,30,0,0,1.0,Reverse
Drer_1827251,Zebrafish_EnSpm-N49_DR#DNA/CACTA,525,37,29,0,0,1.0,Reverse
Drer_544338,Zebrafish_EnSpm-N49_DR#DNA/CACTA,526,37,24,0,0,1.0,Reverse
Drer_1631676,Zebrafish_EnSpm-N49_DR#DNA/CACTA,526,37,23,0,0,1.0,Reverse
Drer_1648200,Zebrafish_EnSpm-N49_DR#DNA/CACTA,526,37,29,0,0,1.0,Reverse
Drer_1737232,Zebrafish_EnSpm-N49_DR#DNA/CACTA,526,37,22,0,0,1.0,Reverse
Drer_1827250,Zebrafish_EnSpm-N49_DR#DNA/CACTA,526,37,28,0,0,1.0,Reverse
Drer_544337,Zebrafish_EnSpm-N49_DR#DNA/CACTA,527,37,23,0,0,1.0,Reverse
Drer_1827249,Zebrafish_EnSpm-N49_DR#DNA/CACTA,527,37,27,0,0,1.0,Reverse
Drer_544336,Zebrafish_EnSpm-N49_DR#DNA/CACTA,528,37,22,0,0,1.0,Reverse
Drer_1643268,Zebrafish_EnSpm-N49_DR#DNA/CACTA,528,37,30,0,0,1.0,Reverse
Drer_1648199,Zebrafish_EnSpm-N49_DR#DNA/CACTA,528,37,27,0,0,1.0,Reverse
Drer_1799697,Zebrafish_EnSpm-N49_DR#DNA/CACTA,528,37,29,0,0,1.0,Reverse
Drer_1827248,Zebrafish_EnSpm-N49_DR#DNA/CACTA,528,37,26,0,0,1.0,Reverse
Drer_544335,Zebrafish_EnSpm-N49_DR#DNA/CACTA,529,37,21,0,0,1.0,Reverse
Drer_1643267,Zebrafish_EnSpm-N49_DR#DNA/CACTA,529,37,29,0,0,1.0,Reverse
Drer_1799696,Zebrafish_EnSpm-N49_DR#DNA/CACTA,529,37,28,0,0,1.0,Reverse
Drer_1827247,Zebrafish_EnSpm-N49_DR#DNA/CACTA,529,37,25,0,0,1.0,Reverse
Drer_1643266,Zebrafish_EnSpm-N49_DR#DNA/CACTA,530,37,28,0,0,1.0,Reverse
Drer_1648198,Zebrafish_EnSpm-N49_DR#DNA/CACTA,530,37,25,0,0,1.0,Reverse
Drer_1799695,Zebrafish_EnSpm-N49_DR#DNA/CACTA,530,37,27,0,0,1.0,Reverse
Drer_1827246,Zebrafish_EnSpm-N49_DR#DNA/CACTA,530,37,24,0,0,1.0,Reverse
Drer_847877,Zebrafish_EnSpm-N49_DR#DNA/CACTA,531,37,31,0,0,1.0,Reverse
Drer_1643265,Zebrafish_EnSpm-N49_DR#DNA/CACTA,531,37,27,0,0,1.0,Reverse
Drer_1648197,Zebrafish_EnSpm-N49_DR#DNA/CACTA,531,37,24,0,0,1.0,Reverse
Drer_1799694,Zebrafish_EnSpm-N49_DR#DNA/CACTA,531,37,26,0,0,1.0,Reverse
Drer_1827245,Zebrafish_EnSpm-N49_DR#DNA/CACTA,531,37,23,0,0,1.0,Reverse
Drer_1643264,Zebrafish_EnSpm-N49_DR#DNA/CACTA,532,37,26,0,0,1.0,Reverse
Drer_1799693,Zebrafish_EnSpm-N49_DR#DNA/CACTA,532,37,25,0,0,1.0,Reverse
Drer_847876,Zebrafish_EnSpm-N49_DR#DNA/CACTA,533,37,29,0,0,1.0,Reverse
Drer_1799692,Zebrafish_EnSpm-N49_DR#DNA/CACTA,533,37,24,0,0,1.0,Reverse
Drer_1827244,Zebrafish_EnSpm-N49_DR#DNA/CACTA,533,37,21,0,0,1.0,Reverse
Drer_1799691,Zebrafish_EnSpm-N49_DR#DNA/CACTA,534,37,23,0,0,1.0,Reverse
Drer_1827243,Zebrafish_EnSpm-N49_DR#DNA/CACTA,534,37,20,0,0,1.0,Reverse
Drer_1827347,Zebrafish_EnSpm-N49_DR#DNA/CACTA,537,37,16,0,1,1.0,Reverse
Drer_1653761,Zebrafish_EnSpm-N49_DR#DNA/CACTA,557,37,25,0,0,1.0,Reverse
Drer_455750,Zebrafish_EnSpm-N49_DR#DNA/CACTA,564,37,21,0,0,1.0,Reverse
Drer_1709225,Zebrafish_EnSpm-N49_DR#DNA/CACTA,564,37,30,0,0,1.0,Reverse
Drer_1791384,Zebrafish_EnSpm-N49_DR#DNA/CACTA,565,37,27,0,0,1.0,Reverse
Drer_1510150,Zebrafish_EnSpm-N49_DR#DNA/CACTA,566,37,24,0,0,1.0,Reverse
Drer_1623574,Zebrafish_EnSpm-N49_DR#DNA/CACTA,566,37,29,0,0,1.0,Reverse
Drer_1709224,Zebrafish_EnSpm-N49_DR#DNA/CACTA,566,37,28,0,0,1.0,Reverse
Drer_1704466,Zebrafish_EnSpm-N49_DR#DNA/CACTA,567,37,30,0,0,1.0,Reverse
Drer_1709223,Zebrafish_EnSpm-N49_DR#DNA/CACTA,567,37,27,0,0,1.0,Reverse
Drer_1704465,Zebrafish_EnSpm-N49_DR#DNA/CACTA,571,37,26,0,0,1.0,Reverse
Drer_1704464,Zebrafish_EnSpm-N49_DR#DNA/CACTA,575,37,22,0,0,1.0,Reverse
Drer_1704463,Zebrafish_EnSpm-N49_DR#DNA/CACTA,576,37,21,0,0,1.0,Reverse
Drer_1704462,Zebrafish_EnSpm-N49_DR#DNA/CACTA,578,37,19,0,0,1.0,Reverse
Drer_1709222,Zebrafish_EnSpm-N49_DR#DNA/CACTA,578,37,16,0,0,1.0,Reverse
Drer_1439950,Zebrafish_EnSpm-N49_DR#DNA/CACTA,581,37,30,0,0,1.0,Reverse
Drer_1439949,Zebrafish_EnSpm-N49_DR#DNA/CACTA,582,37,29,0,0,1.0,Reverse
Drer_1439948,Zebrafish_EnSpm-N49_DR#DNA/CACTA,583,37,28,0,0,1.0,Reverse
Drer_1439947,Zebrafish_EnSpm-N49_DR#DNA/CACTA,584,37,27,0,0,1.0,Reverse
Drer_1577143,Zebrafish_EnSpm-N49_DR#DNA/CACTA,584,37,28,0,0,1.0,Reverse
Drer_807268,Zebrafish_EnSpm-N49_DR#DNA/CACTA,590,37,26,0,0,1.0,Reverse
Drer_1425669,Zebrafish_EnSpm-N49_DR#DNA/CACTA,590,37,27,0,0,1.0,Reverse
Drer_1794620,Zebrafish_EnSpm-N49_DR#DNA/CACTA,591,37,29,0,0,1.0,Reverse
Drer_1794619,Zebrafish_EnSpm-N49_DR#DNA/CACTA,592,37,28,0,0,1.0,Reverse
Drer_807267,Zebrafish_EnSpm-N49_DR#DNA/CACTA,593,37,23,0,0,1.0,Reverse
Drer_1710331,Zebrafish_EnSpm-N49_DR#DNA/CACTA,595,37,25,0,0,1.0,Forward
Drer_807266,Zebrafish_EnSpm-N49_DR#DNA/CACTA,595,37,21,0,0,1.0,Reverse
Drer_1643145,Zebrafish_EnSpm-N49_DR#DNA/CACTA,595,37,29,0,0,1.0,Reverse
Drer_814420,Zebrafish_EnSpm-N49_DR#DNA/CACTA,600,37,28,0,0,1.0,Forward
Drer_1425668,Zebrafish_EnSpm-N49_DR#DNA/CACTA,601,37,16,0,0,1.0,Reverse
Drer_1794618,Zebrafish_EnSpm-N49_DR#DNA/CACTA,601,37,19,0,0,1.0,Reverse
Drer_1560993,Zebrafish_EnSpm-N49_DR#DNA/CACTA,602,37,25,0,0,1.0,Reverse
Drer_1686564,Zebrafish_EnSpm-N49_DR#DNA/CACTA,603,37,28,0,0,1.0,Reverse
Drer_1686563,Zebrafish_EnSpm-N49_DR#DNA/CACTA,604,37,27,0,0,1.0,Reverse
Drer_548641,Zebrafish_EnSpm-N49_DR#DNA/CACTA,605,37,20,0,0,1.0,Reverse
Drer_1686562,Zebrafish_EnSpm-N49_DR#DNA/CACTA,605,37,26,0,0,1.0,Reverse
Drer_1614550,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,22,0,0,1.0,Forward
Drer_1614551,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,24,0,0,1.0,Forward
Drer_1614552,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,26,0,0,1.0,Forward
Drer_1345680,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,27,0,0,1.0,Reverse
Drer_1643144,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,18,0,0,1.0,Reverse
Drer_1686561,Zebrafish_EnSpm-N49_DR#DNA/CACTA,606,37,25,0,0,1.0,Reverse
Drer_1657577,Zebrafish_EnSpm-N49_DR#DNA/CACTA,607,37,24,0,0,1.0,Forward
Drer_1345679,Zebrafish_EnSpm-N49_DR#DNA/CACTA,607,37,26,0,0,1.0,Reverse
Drer_599875,Zebrafish_EnSpm-N49_DR#DNA/CACTA,612,37,30,0,0,1.0,Reverse
Drer_599874,Zebrafish_EnSpm-N49_DR#DNA/CACTA,613,37,29,0,0,1.0,Reverse
Drer_599873,Zebrafish_EnSpm-N49_DR#DNA/CACTA,614,37,28,0,0,1.0,Reverse
Drer_599872,Zebrafish_EnSpm-N49_DR#DNA/CACTA,615,37,27,0,0,1.0,Reverse
Drer_599871,Zebrafish_EnSpm-N49_DR#DNA/CACTA,616,37,26,0,0,1.0,Reverse
Drer_599870,Zebrafish_EnSpm-N49_DR#DNA/CACTA,617,37,25,0,0,1.0,Reverse
Drer_1822805,Zebrafish_EnSpm-N49_DR#DNA/CACTA,638,37,27,0,0,1.0,Reverse
Drer_1706497,Zebrafish_EnSpm-N49_DR#DNA/CACTA,642,37,25,0,0,1.0,Forward
Drer_1612852,Zebrafish_EnSpm-N49_DR#DNA/CACTA,642,37,25,0,0,1.0,Reverse
Drer_1647037,Zebrafish_EnSpm-N49_DR#DNA/CACTA,642,37,24,0,0,1.0,Reverse
Drer_1822804,Zebrafish_EnSpm-N49_DR#DNA/CACTA,642,37,23,0,0,1.0,Reverse
Drer_1703590,Zebrafish_EnSpm-N49_DR#DNA/CACTA,646,37,20,0,0,1.0,Forward
Drer_1703591,Zebrafish_EnSpm-N49_DR#DNA/CACTA,646,37,21,0,0,1.0,Forward
Drer_1274217,Zebrafish_EnSpm-N49_DR#DNA/CACTA,675,37,27,0,0,1.0,Reverse
Drer_1274216,Zebrafish_EnSpm-N49_DR#DNA/CACTA,676,37,26,0,0,1.0,Reverse
Drer_1308632,Zebrafish_EnSpm-N49_DR#DNA/CACTA,677,37,27,0,0,1.0,Reverse
Drer_1274215,Zebrafish_EnSpm-N49_DR#DNA/CACTA,678,37,24,0,0,1.0,Reverse
Drer_1848768,Zebrafish_EnSpm-N49_DR#DNA/CACTA,679,37,28,0,0,1.0,Reverse
Drer_1279577,Zebrafish_EnSpm-N49_DR#DNA/CACTA,682,37,20,0,0,1.0,Reverse
Drer_1643300,Zebrafish_EnSpm-N49_DR#DNA/CACTA,682,37,29,0,0,1.0,Reverse
Drer_1800017,Zebrafish_EnSpm-N49_DR#DNA/CACTA,683,37,27,0,0,1.0,Reverse
Drer_1643299,Zebrafish_EnSpm-N49_DR#DNA/CACTA,685,37,26,0,0,1.0,Reverse
Drer_1800016,Zebrafish_EnSpm-N49_DR#DNA/CACTA,686,37,24,0,0,1.0,Reverse
Drer_1800015,Zebrafish_EnSpm-N49_DR#DNA/CACTA,687,37,23,0,0,1.0,Reverse
Drer_850375,Zebrafish_EnSpm-N49_DR#DNA/CACTA,690,37,30,0,0,1.0,Reverse
Drer_336670,Zebrafish_EnSpm-N49_DR#DNA/CACTA,710,37,30,0,1,1.0,Reverse
Drer_602923,Zebrafish_EnSpm-N49_DR#DNA/CACTA,710,37,28,0,0,1.0,Reverse
Drer_306903,Zebrafish_EnSpm-N49_DR#DNA/CACTA,711,37,31,0,0,1.0,Reverse
Drer_336669,Zebrafish_EnSpm-N49_DR#DNA/CACTA,711,37,29,0,1,1.0,Reverse
Drer_602921,Zebrafish_EnSpm-N49_DR#DNA/CACTA,711,37,26,0,1,1.0,Reverse
Drer_602922,Zebrafish_EnSpm-N49_DR#DNA/CACTA,711,37,27,0,0,1.0,Reverse
Drer_859893,Zebrafish_EnSpm-N49_DR#DNA/CACTA,711,37,30,0,0,1.0,Reverse
Drer_306902,Zebrafish_EnSpm-N49_DR#DNA/CACTA,712,37,30,0,0,1.0,Reverse
Drer_306904,Zebrafish_EnSpm-N49_DR#DNA/CACTA,712,37,30,0,0,1.0,Reverse
Drer_859892,Zebrafish_EnSpm-N49_DR#DNA/CACTA,712,37,29,0,0,1.0,Reverse
Drer_1675957,Zebrafish_EnSpm-N49_DR#DNA/CACTA,712,37,32,0,0,1.0,Reverse
Drer_306901,Zebrafish_EnSpm-N49_DR#DNA/CACTA,713,37,29,0,0,1.0,Reverse
Drer_859891,Zebrafish_EnSpm-N49_DR#DNA/CACTA,713,37,28,0,0,1.0,Reverse
Drer_1675956,Zebrafish_EnSpm-N49_DR#DNA/CACTA,713,37,31,0,0,1.0,Reverse
Drer_306900,Zebrafish_EnSpm-N49_DR#DNA/CACTA,714,37,28,0,0,1.0,Reverse
Drer_859890,Zebrafish_EnSpm-N49_DR#DNA/CACTA,714,37,27,0,0,1.0,Reverse
Drer_306899,Zebrafish_EnSpm-N49_DR#DNA/CACTA,715,37,27,0,0,1.0,Reverse
Drer_336668,Zebrafish_EnSpm-N49_DR#DNA/CACTA,715,37,25,0,1,1.0,Reverse
Drer_859889,Zebrafish_EnSpm-N49_DR#DNA/CACTA,715,37,26,0,0,1.0,Reverse
Drer_859888,Zebrafish_EnSpm-N49_DR#DNA/CACTA,716,37,25,0,0,1.0,Reverse
Drer_1675955,Zebrafish_EnSpm-N49_DR#DNA/CACTA,716,37,28,0,0,1.0,Reverse
Drer_306898,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,25,0,0,1.0,Reverse
Drer_859887,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,24,0,0,1.0,Reverse
Drer_859894,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,24,0,0,1.0,Reverse
Drer_1604210,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,30,0,0,1.0,Reverse
Drer_1606302,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,29,0,0,1.0,Reverse
Drer_1675954,Zebrafish_EnSpm-N49_DR#DNA/CACTA,717,37,27,0,0,1.0,Reverse
Drer_1675953,Zebrafish_EnSpm-N49_DR#DNA/CACTA,718,37,26,0,0,1.0,Reverse
Drer_306897,Zebrafish_EnSpm-N49_DR#DNA/CACTA,719,37,23,0,0,1.0,Reverse
Drer_1604209,Zebrafish_EnSpm-N49_DR#DNA/CACTA,719,37,28,0,0,1.0,Reverse
Drer_1618209,Zebrafish_EnSpm-N49_DR#DNA/CACTA,719,37,26,0,0,1.0,Reverse
Drer_1675952,Zebrafish_EnSpm-N49_DR#DNA/CACTA,719,37,25,0,0,1.0,Reverse
Drer_306896,Zebrafish_EnSpm-N49_DR#DNA/CACTA,720,37,22,0,0,1.0,Reverse
Drer_859886,Zebrafish_EnSpm-N49_DR#DNA/CACTA,720,37,21,0,0,1.0,Reverse
Drer_1604208,Zebrafish_EnSpm-N49_DR#DNA/CACTA,720,37,27,0,0,1.0,Reverse
Drer_1675951,Zebrafish_EnSpm-N49_DR#DNA/CACTA,720,37,24,0,0,1.0,Reverse
Drer_859885,Zebrafish_EnSpm-N49_DR#DNA/CACTA,722,37,19,0,0,1.0,Reverse
Drer_1604207,Zebrafish_EnSpm-N49_DR#DNA/CACTA,722,37,25,0,0,1.0,Reverse
Drer_1613123,Zebrafish_EnSpm-N49_DR#DNA/CACTA,722,37,25,0,0,1.0,Reverse
Drer_1675950,Zebrafish_EnSpm-N49_DR#DNA/CACTA,722,37,22,0,0,1.0,Reverse
Drer_1606301,Zebrafish_EnSpm-N49_DR#DNA/CACTA,723,37,23,0,0,1.0,Reverse
Drer_1613122,Zebrafish_EnSpm-N49_DR#DNA/CACTA,723,37,24,0,0,1.0,Reverse
Drer_1613121,Zebrafish_EnSpm-N49_DR#DNA/CACTA,724,37,23,0,0,1.0,Reverse
Drer_1675949,Zebrafish_EnSpm-N49_DR#DNA/CACTA,724,37,20,0,0,1.0,Reverse
Drer_1613120,Zebrafish_EnSpm-N49_DR#DNA/CACTA,725,37,22,0,0,1.0,Reverse
Drer_1675948,Zebrafish_EnSpm-N49_DR#DNA/CACTA,725,37,19,0,0,1.0,Reverse
Drer_306895,Zebrafish_EnSpm-N49_DR#DNA/CACTA,726,37,16,0,0,1.0,Reverse
Drer_1604206,Zebrafish_EnSpm-N49_DR#DNA/CACTA,726,37,21,0,0,1.0,Reverse
Drer_1606300,Zebrafish_EnSpm-N49_DR#DNA/CACTA,726,37,20,0,0,1.0,Reverse
Drer_269345,Zebrafish_EnSpm-N49_DR#DNA/CACTA,727,37,30,0,0,1.0,Reverse
Drer_269344,Zebrafish_EnSpm-N49_DR#DNA/CACTA,729,37,28,0,0,1.0,Reverse
Drer_769934,Zebrafish_EnSpm-N49_DR#DNA/CACTA,730,37,26,0,0,1.0,Reverse
Drer_801427,Zebrafish_EnSpm-N49_DR#DNA/CACTA,730,37,30,0,0,1.0,Reverse
Drer_1604205,Zebrafish_EnSpm-N49_DR#DNA/CACTA,730,37,17,0,0,1.0,Reverse
Drer_1616887,Zebrafish_EnSpm-N49_DR#DNA/CACTA,730,37,24,0,0,1.0,Reverse
Drer_1687588,Zebrafish_EnSpm-N49_DR#DNA/CACTA,730,37,32,0,0,1.0,Reverse
Drer_801424,Zebrafish_EnSpm-N49_DR#DNA/CACTA,731,37,29,0,0,1.0,Reverse
Drer_801426,Zebrafish_EnSpm-N49_DR#DNA/CACTA,731,37,29,0,0,1.0,Reverse
Drer_1687587,Zebrafish_EnSpm-N49_DR#DNA/CACTA,731,37,31,0,0,1.0,Reverse
Drer_1620577,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,27,0,0,1.0,Forward
Drer_1620637,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,22,0,0,1.0,Forward
Drer_1620638,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,30,0,0,1.0,Forward
Drer_1620639,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,31,0,0,1.0,Forward
Drer_801423,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,28,0,0,1.0,Reverse
Drer_1687578,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,30,0,0,1.0,Reverse
Drer_1687586,Zebrafish_EnSpm-N49_DR#DNA/CACTA,732,37,30,0,0,1.0,Reverse
Drer_1689274,Zebrafish_EnSpm-N49_DR#DNA/CACTA,733,37,27,0,0,1.0,Forward
Drer_1687585,Zebrafish_EnSpm-N49_DR#DNA/CACTA,733,37,29,0,0,1.0,Reverse
Drer_801422,Zebrafish_EnSpm-N49_DR#DNA/CACTA,734,37,26,0,0,1.0,Reverse
